category,subcategory,form_number,form_name,pdf_url,url_version,efile_prefix_flag,fillable,field_count,page_count,sha256,local_path
minors-settlement,Minor's Settlement Forms,PC-1.De,Proposed Entry Continuing Hearing,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/5/documents/forms/minors-settlement/entry-continuing-hearing.pdf,5,False,True,14,1,2a7f59ac679587529412e6861e0b0fa0f439bcca4047a2d235953f796a4e672c,pdfs/minors-settlement/pc-1-de__proposed-entry-continuing-hearing.pdf
minors-settlement,Minor's Settlement Forms,PC-1.E,Proposed Entry Setting Hearing,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/miscellaneous/entry-setting-hearing.pdf,2,False,True,18,1,9a4836d3e427cacfc2b1477d395082065e7ef17f270678f9120b58cf39564bfb,pdfs/minors-settlement/pc-1-e__proposed-entry-setting-hearing.pdf
minors-settlement,Minor's Settlement Forms,PC-1.F,Application to Extend Time,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/application-to-extend-time.pdf,2,False,True,12,1,c894379a8f3b983625931b3e61a56050830c0382deb850d5e89d89eb654f00e3,pdfs/minors-settlement/pc-1-f__application-to-extend-time.pdf
minors-settlement,Minor's Settlement Forms,PC-1.Fe,Proposed Entry Extending Time,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/entry-extending-time.pdf,2,False,True,4,1,4cb88e879cde7a23ae6e380f2681126ccb869e7a8e5a1126124c7c6435bd394c,pdfs/minors-settlement/pc-1-fe__proposed-entry-extending-time.pdf
minors-settlement,Minor's Settlement Forms,PC-1.W,Proposed Magistrate's Order Regarding Fees,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/1/documents/forms/minors-settlement/magistrate-s-order-regarding-fees.pdf,1,False,True,20,1,c48bbc4384e011b483054c93c6c0303841e426bc5a652070743d509ce9c84933,pdfs/minors-settlement/pc-1-w__proposed-magistrate-s-order-regarding-fees.pdf
minors-settlement,Minor's Settlement Forms,PC-22.1,Waiver and Consent to Settle Minor's Claim,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/waiver-and-consent-to-settle-minor-s-claim.pdf,2,False,True,6,1,19a59e3d8ce5ee0a3be422c8e7156646060fa5b4f3786339691140cdc6067688,pdfs/minors-settlement/pc-22-1__waiver-and-consent-to-settle-minor-s-claim.pdf
minors-settlement,Minor's Settlement Forms,PC-22.2,Proposed Entry Approving Settlement of a Minor's Claim,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/proposed-entry-approving-settlement-of-a-minor-s-claim.pdf,2,False,True,31,1,2b2b23c75a8a82b4e61dc94db91ff45f0c0bdfcf7a880446161cd69aa57633ed,pdfs/minors-settlement/pc-22-2__proposed-entry-approving-settlement-of-a-minor-s-claim.pdf
minors-settlement,Minor's Settlement Forms,PC-EGT-1.C,Application for Fees,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/1/documents/forms/minors-settlement/application-for-fees.pdf,1,False,True,22,2,f6bacfd93f2382ef47031fc71f44f809d3fb06cac5fdf1515794bfe697c373d6,pdfs/minors-settlement/pc-egt-1-c__application-for-fees.pdf
minors-settlement,Minor's Settlement Forms,PC-G-16.0B,Proposed Entry Dispensing with Appointment of Guardian and Ordering Deposit,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/1/documents/forms/minors-settlement/entry-dispensing-with-appointment-of-guardian-and-ordering-deposit-1.pdf,1,False,True,14,1,46c31faf23f2c331bbeeb49089c2703fba206e00f62301f27abd7bb676637c09,pdfs/minors-settlement/pc-g-16-0b__proposed-entry-dispensing-with-appointment-of-guardian-and-ordering-deposit.pdf
minors-settlement,Minor's Settlement Forms,PC-G-6.B,Receipt on Behalf of Minor,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/receipt-on-behalf-of-a-minor.pdf,2,False,True,16,1,0b5fd44c20332c2af9b0affe937325e25c1b0bbe1bab1fda0592ffe7673c3611,pdfs/minors-settlement/pc-g-6-b__receipt-on-behalf-of-minor.pdf
minors-settlement,Minor's Settlement Forms,PC-MS-22.0,Application to Settle a Minor's Claim,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/2/documents/forms/minors-settlement/application-to-settle-a-minor-s-claim.pdf,2,False,True,63,2,7d0bae13ace8985dd420b7ffa79b0e1982050f22c63267f8824d49ad558ac18d,pdfs/minors-settlement/pc-ms-22-0__application-to-settle-a-minor-s-claim.pdf
minors-settlement,Minor's Settlement Forms,PC-MS-22.4A,Report of Distribution,https://probate.franklincountyohio.gov/files/assets/probatecourt/v/3/documents/forms/minors-settlement/report-of-distribution.pdf,3,False,True,36,1,37c2fa3d50029ee2034729905444886605020f6af7af14dce499f11df4c7cd94,pdfs/minors-settlement/pc-ms-22-4a__report-of-distribution.pdf
